"dset","fmethod","h","signBetterBu","signBetterComb","signBetterCombWls","signBetterCombMint","TotalMaeImprovBu","TotalMaeImprovComb","TotalMaeImprovWls","TotalMaeImprovMint","EachTsMaeImprovBu","EachTsMaeImprovComb","EachTsMaeImprovWls","EachTsMaeImprovMint","mseBu","mseComb","mseCombWls","mseCombMint","mseBayes"
"htseg1","ets",1,0.6,0.375,0.375,0.325,0.0599308094510953,-0.025893327867967,-0.0137802976791055,-0.0506463999264378,-0.00802993863952051,-0.0255422349891991,-0.0514268739941072,-0.0549435761500378,0.057197385920933,0.0462867134155208,0.0468221280689567,0.043718996871134,0.0476564425055742
"htseg1","ets",2,0.65625,0.25,0.25,0.46875,0.00866800907179894,-0.0483719231701473,-0.0128891105378498,-0.00107595131290087,0.0396445053805152,-0.0429509554439621,0.00328260438767105,0.00980403322615832,0.178922454718532,0.165839279610524,0.172666054420095,0.175405574850688,0.175679119575111
"htseg1","ets",3,0.708333333333333,0.25,0.25,0.458333333333333,0.00662435223898614,-0.0730495752590705,-0.0204413574382213,-0.00422467373080543,-0.00763169305472479,-0.137943392592469,-0.0263823541667725,-0.0149148303977299,0.276963133700502,0.246975928789574,0.262262052412788,0.268578639144982,0.269839826610135
"htseg2","ets",1,0.529411764705882,0.576470588235294,0.482352941176471,0.576470588235294,0.0433709910537735,0.020132131753051,0.0296715187474084,0.138803082111257,0.0400567338803185,0.075014995514488,-0.0560107475577612,0.0281064082560323,0.00485918209365274,0.00433489815703885,0.00495225954678624,0.00603741680758748,0.0045261802914738
"htseg2","ets",2,0.558823529411765,0.529411764705882,0.426470588235294,0.455882352941176,0.0563188551482757,-0.0829913040767302,-0.0710277015227037,0.0250769554569078,0.0855267408192317,-0.0309305930970117,-0.0977633762712456,0.0157185670564927,0.0201060457896158,0.0155306172552534,0.0169696689378422,0.0197205055306099,0.0189433762235023
"htseg2","ets",3,0.705882352941177,0.549019607843137,0.411764705882353,0.470588235294118,0.220517065449672,-0.0538222004591032,-0.0763550375153034,-0.00988144567268614,0.327173228496411,0.0247375873347054,-0.078878188539332,-0.0189503428585186,0.0497969105801856,0.0325562834106043,0.0345910387040489,0.0377549337639395,0.0386619186244254
"infantgts","ets",1,0.539259259259259,0.555555555555556,0.537777777777778,0.524444444444444,0.0419176011978095,0.0195843999469167,0.0142192941201701,0.0126708096777953,0.0626981225523193,0.0749711099193094,0.0662482996428193,0.0408143968066751,2066.03956252239,1952.19019672857,1944.36348493913,1968.76179751315,1858.40897977671
"infantgts","ets",2,0.574074074074074,0.533950617283951,0.506172839506173,0.487654320987654,0.0457274068970732,0.0495569100111468,0.0276011710066318,0.0177865379022288,0.0788043852106649,0.0635889685748982,0.0359397641162471,0.0176033431924256,2825.49779991672,2707.91238126445,2648.12366098184,2556.0039426366,2574.28591258462
"infantgts","ets",3,0.561996779388084,0.57487922705314,0.542673107890499,0.531400966183575,0.0266986134455732,0.0362899264294424,-0.0109014739426729,-0.0324517593339002,0.0761565526713649,0.136823108446666,0.0677870307218225,0.0686673436262058,4016.1588181155,3932.582216412,3759.98680417553,3707.27512096595,3905.9823971101
"tourism","ets",1,0.539317585301837,0.538687664041995,0.451233595800525,0.486404199475066,0.00870449335490418,0.0611348007657604,0.0147195900833463,-0.046092064995231,0.00956923500225926,0.0367805163627344,-0.0265415689386298,-0.0218759904570274,112664.234260189,129793.11101447,121721.540901669,104815.611365036,114114.699197442
"htseg1","ets",1,0.6,0.375,0.375,0.325,0.0599308094510953,-0.025893327867967,-0.0137802976791055,-0.0506463999264378,-0.00802993863952051,-0.0255422349891991,-0.0514268739941072,-0.0549435761500378,0.057197385920933,0.0462867134155208,0.0468221280689567,0.043718996871134,0.0476564425055742
