"","customer","supplier","qty"
"1","5N Plus Belgium SA (ex Sidech)","BASF",1000
"2","5N Plus Belgium SA (ex Sidech)","BRENNTAG",3000
"3","ADVACHEM S.A.","YARA",80422
"4","AGFA Gevaert NV","BOREALIS",500
"5","AGFA Gevaert NV","BASF",300
"6","Air Liquide","OCI",300
"7","Air Liquide","CF_INDUSTRIES",50
"8","Air Products","BASF",3000
"9","Ajinomoto Omnichem","BRENNTAG",60
"10","AKZO NOBEL SURFACE CHEMISTRY AB","YARA",2569
"11","ALCO BIO FUEL NV","YARA",40
"12","ALCO BIO FUEL NV","ACHEMA",2623
"13","ALCO BIO FUEL NV","BRENNTAG",377
"14","ALGIST BRUGGEMAN","YARA",3062
"15","ALGIST BRUGGEMAN","BOREALIS",1000
"16","ALGIST BRUGGEMAN","BRENNTAG",2938
"17","Analu","YARA",60
"18","Analu","CF_INDUSTRIES",85
"19","Arcelor Mittal (ex ALZ)","YARA",60
"20","Arcelor Mittal (ex ALZ)","CF_INDUSTRIES",600
"21","Arcelor Mittal (ex Industeel Belgium)","YARA",60
"22","Arcelor Mittal (ex Industeel Belgium)","CF_INDUSTRIES",600
"23","Arcelor Projects (ex Arbed)","YARA",100
"24","Arcelor Projects (ex Arbed)","PETROKEMIJA",600
"25","Asland (ex Hercules)","BRENNTAG",150
"26","Azelis (ex Sibeco)","BASF",800
"27","BEKAERT NV","YARA",69
"28","BEKAERT NV","ACHEMA",1065
"29","Biowanze SA","YARA",40
"30","Biowanze SA","ACHEMA",4742
"31","Biowanze SA","BRENNTAG",1258
"32","BRENNTAG N.V.","YARA",765
"33","BRENNTAG N.V.","BOREALIS",200
"34","BRENNTAG N.V.","SKW",170
"35","BRENNTAG N.V.","OTHER EASTERN EUROPEAN",300
"36","BRENNTAG N.V.","YARA",2465
"37","BRENNTAG N.V.","BRENNTAG",4035
"38","BRENNTAG N.V.","YARA",206
"39","BRENNTAG N.V.","OTHER EASTERN EUROPEAN",500
